"Season_Nest";"nest";"season";"session";"sx";"ringno";"Total_Complete_Neglect";"n_gaps";"mean_neglect_duration";"n_incubations";"mean_incubation_duration"
"2021_W6";"W6";"2021";"incubation3";"f";"50099";405;5;81;11;11909,6363636364
"2021_W6";"W6";"2021";"incubation3";"m";"50088";132;2;66;12;7829,58333333333
"2023_101";"101";"2023";"incubation1";"f";"50161";11;1;11;5;23953,6
"2023_101";"101";"2023";"incubation1";"m";"48567";109;2;54,5;11;6356,45454545455
"2023_101";"101";"2023";"incubation2";"f";"50161";73;2;36,5;3;28205,6666666667
"2023_101";"101";"2023";"incubation2";"m";"48567";2732;1;2732;3;29131,3333333333
"2023_101";"101";"2023";"incubation3";"f";"50161";782;1;782;2;32395,5
"2023_101";"101";"2023";"incubation3";"m";"48567";1190;1;1190;3;37522
"2023_113_10";"113_10";"2023";"incubation3";"f";"60006";21;1;21;3;44006,3333333333
"2023_113_10";"113_10";"2023";"incubation3";"m";"50135";85;1;85;2;79939,5
"2023_11_58";"11_58";"2023";"incubation2";"f";"58338";45407;3;15135,6666666667;6;19086,6666666667
"2023_11_58";"11_58";"2023";"incubation2";"m";"58336";577;1;577;2;23432
"2023_11_58";"11_58";"2023";"incubation3";"f";"58338";194;1;194;2;38575,5
"2023_11_58";"11_58";"2023";"incubation3";"m";"58336";71;1;71;3;40917,6666666667
"2023_14_10M";"14_10M";"2023";"incubation1";"f";"50225";0;0;NA;4;30814
"2023_14_10M";"14_10M";"2023";"incubation1";"m";"50275";25;1;25;3;22995
"2023_14_10M";"14_10M";"2023";"incubation2";"f";"50225";0;0;NA;2;87577
"2023_14_10M";"14_10M";"2023";"incubation2";"m";"50275";0;0;NA;1;85572
