"";"season";"session";"nest";"group";"total_neglected_seconds";"number_of_neglect_events";"average_neglect_duration";"uCode";"NI";"Rank"
"121";2021;"incubation2";"D15_5";"complete";329;4;82,25;"D15_5_incubation2_21";4,99;134
"122";2021;"incubation2";"D15_6";"complete";32804;1;32804;"D15_6_incubation2_21";85,98;3
"123";2021;"incubation2";"D16_1";"complete";146;1;146;"D16_1_incubation2_21";5,2;132
"124";2021;"incubation2";"D17_16";"complete";50;2;25;"D17_16_incubation2_21";1,23;188
"125";2021;"incubation2";"K16_4";"complete";464;4;116;"K16_4_incubation2_21";6,75;117
"126";2021;"incubation2";"K17_13";"complete";82;1;82;"K17_13_incubation2_21";3,12;159
"127";2021;"incubation2";"K8";"complete";31481;1;31481;"K8_incubation2_21";85,11;5
"128";2021;"incubation2";"W39";"complete";0;0;0;"W39_incubation2_21";0;208
"129";2021;"incubation2";"W40";"complete";1192;14;85,1428571428571;"W40_incubation2_21";9,85;94
"130";2021;"incubation2";"W41J";"complete";410;2;205;"W41J_incubation2_21";8,38;103
"131";2021;"incubation2";"W6";"complete";310;7;44,2857142857143;"W6_incubation2_21";3,81;148
"132";2021;"incubation3";"101";"complete";542;4;135,5;"101_incubation3_21";7,7;108
"133";2021;"incubation3";"113_41";"complete";563;4;140,75;"113_41_incubation3_21";7,95;105
"134";2021;"incubation3";"11_58";"complete";0;0;0;"11_58_incubation3_21";0;208
"135";2021;"incubation3";"D15_5";"complete";161;2;80,5;"D15_5_incubation3_21";3,71;149
"136";2021;"incubation3";"D15_6";"complete";481;2;240,5;"D15_6_incubation3_21";9,54;97
"137";2021;"incubation3";"D16_1";"complete";0;0;0;"D16_1_incubation3_21";0;208
"138";2021;"incubation3";"D17_16";"complete";121;1;121;"D17_16_incubation3_21";4,42;142
"139";2021;"incubation3";"K16_4";"complete";200;2;100;"K16_4_incubation3_21";4,52;139
"140";2021;"incubation3";"K17_13";"complete";139;2;69,5;"K17_13_incubation3_21";3,24;156
"141";2021;"incubation3";"K8";"complete";22693;5;4538,6;"K8_incubation3_21";61,38;15
"142";2021;"incubation3";"W39";"complete";20765;2;10382,5;"W39_incubation3_21";69,02;12
"143";2021;"incubation3";"W40";"complete";1213;14;86,6428571428571;"W40_incubation3_21";9,98;93
"144";2021;"incubation3";"W41J";"complete";2165;2;1082,5;"W41J_incubation3_21";26,81;37
"145";2021;"incubation3";"W6";"complete";537;7;76,7142857142857;"W6_incubation3_21";6,2;122
"146";2023;"incubation1";"101";"complete";120;3;40;"101_incubation1_23";2,26;173
"147";2023;"incubation1";"12_16";"complete";91153;3;30384,3333333333;"12_16_incubation1_23";95,98;1
"148";2023;"incubation1";"14_10M";"complete";25;1;25;"14_10M_incubation1_23";1,01;192
"149";2023;"incubation1";"A20_4";"complete";10188;9;1132;"A20_4_incubation1_23";40,32;20
"150";2023;"incubation1";"D15_6";"complete";2824;7;403,428571428571;"D15_6_incubation1_23";21,62;50
"151";2023;"incubation1";"K17_13";"complete";10008;8;1251;"K17_13_incubation1_23";41;19
"152";2023;"incubation1";"K20_15";"complete";5900;5;1180;"K20_15_incubation1_23";35,57;26
"153";2023;"incubation1";"K8";"complete";801;4;200,25;"K8_incubation1_23";10,6;90
"154";2023;"incubation1";"W40";"complete";1785;16;111,5625;"W40_incubation1_23";12,89;76
"155";2023;"incubation1";"W41J";"complete";266;2;133;"W41J_incubation1_23";5,81;124
"156";2023;"incubation1";"W6";"complete";5703;3;1901;"W6_incubation1_23";39,5;22
"157";2023;"incubation2";"101";"complete";2805;3;935;"101_incubation2_23";27,48;36
"158";2023;"incubation2";"11_58";"complete";45984;4;11496;"11_58_incubation2_23";78,37;8
"159";2023;"incubation2";"12_16";"complete";0;0;0;"12_16_incubation2_23";0;208
"160";2023;"incubation2";"14_10M";"complete";0;0;0;"14_10M_incubation2_23";0;208
"161";2023;"incubation2";"K19_19";"complete";598;3;199,333333333333;"K19_19_incubation2_23";9,44;99
"162";2023;"incubation2";"K20_15";"complete";0;0;0;"K20_15_incubation2_23";0;208
"163";2023;"incubation2";"K20_17";"complete";1638;6;273;"K20_17_incubation2_23";15,74;72
"164";2023;"incubation2";"K20_8";"complete";138;2;69;"K20_8_incubation2_23";3,22;157
"165";2023;"incubation2";"W40";"complete";711;2;355,5;"W40_incubation2_23";12,9;75
"166";2023;"incubation2";"W41J";"complete";0;0;0;"W41J_incubation2_23";0;208
"167";2023;"incubation3";"101";"complete";1972;2;986;"101_incubation3_23";25,41;41
"168";2023;"incubation3";"113_10";"complete";106;2;53;"113_10_incubation3_23";2,52;168
"169";2023;"incubation3";"11_58";"complete";265;2;132,5;"11_58_incubation3_23";5,79;125
"170";2023;"incubation3";"12_16";"complete";67739;4;16934,75;"12_16_incubation3_23";86,57;2
"171";2023;"incubation3";"14_10M";"complete";0;0;0;"14_10M_incubation3_23";0;208
"172";2023;"incubation3";"A20_4";"complete";32129;3;10709,6666666667;"A20_4_incubation3_23";73,86;9
"173";2023;"incubation3";"K19_19";"complete";9300;8;1162,5;"K19_19_incubation3_23";39,67;21
"174";2023;"incubation3";"K20_15";"complete";60;2;30;"K20_15_incubation3_23";1,46;186
"175";2023;"incubation3";"K20_17";"complete";1389;10;138,9;"K20_17_incubation3_23";12,02;86
"176";2023;"incubation3";"K20_8";"complete";52971;3;17657;"K20_8_incubation3_23";84,4;6
"177";2023;"incubation3";"K21_37";"complete";0;0;0;"K21_37_incubation3_23";0;208
"178";2023;"incubation3";"W40";"complete";421;6;70,1666666666667;"W40_incubation3_23";5,29;130
"179";2023;"incubation3";"W41J";"complete";4000;2;2000;"W41J_incubation3_23";36,92;25
"180";2025;"incubation1";"101";"complete";2991;6;498,5;"101_incubation1_25";23,38;48
"181";2025;"incubation1";"113_10";"complete";0;0;0;"113_10_incubation1_25";0;208
"182";2025;"incubation1";"113_1A";"complete";1435;4;358,75;"113_1A_incubation1_25";16,39;69
"183";2025;"incubation1";"12_16";"complete";6171;7;881,571428571429;"12_16_incubation1_25";33,59;31
"184";2025;"incubation1";"14_10M";"complete";162;3;54;"14_10M_incubation1_25";2,99;163
"185";2025;"incubation1";"83N";"complete";42;1;42;"83N_incubation1_25";1,67;181
"186";2025;"incubation1";"A20_1";"complete";55577;29;1916,44827586207;"A20_1_incubation1_25";62,37;14
"187";2025;"incubation1";"A20_3";"complete";0;0;0;"A20_3_incubation1_25";0;208
"188";2025;"incubation1";"A20_4";"complete";0;0;0;"A20_4_incubation1_25";0;208
"189";2025;"incubation1";"D17_16";"complete";0;0;0;"D17_16_incubation1_25";0;208
"190";2025;"incubation1";"D17_8";"complete";2034;2;1017;"D17_8_incubation1_25";25,87;40
"191";2025;"incubation1";"D21_1";"complete";189;4;47,25;"D21_1_incubation1_25";3,01;162
"192";2025;"incubation1";"J24_1";"complete";1491;11;135,545454545455;"J24_1_incubation1_25";12,35;82
"193";2025;"incubation1";"K16_4";"complete";1486;11;135,090909090909;"K16_4_incubation1_25";12,32;83
