"season";"session";"nest";"group";"total_neglected_seconds";"number_of_neglect_events";"average_neglect_duration"
"2025";"incubation2";"K8";"complete";1077;8;134,625
"2025";"incubation2";"W20";"complete";137;1;137
"2025";"incubation2";"W28N";"complete";0;0;0
"2025";"incubation2";"W38A";"complete";0;0;0
"2025";"incubation2";"W40";"complete";0;0;0
"2025";"incubation2";"W41J";"complete";1162;1;1162
"2025";"incubation3";"101";"complete";4269;3;1423
"2025";"incubation3";"113_1A";"complete";0;0;0
"2025";"incubation3";"113_41";"complete";0;0;0
"2025";"incubation3";"11_58";"complete";239;2;119,5
"2025";"incubation3";"14_10M";"complete";0;0;0
"2025";"incubation3";"A20_1";"complete";2033;4;508,25
"2025";"incubation3";"A20_4";"complete";0;0;0
"2025";"incubation3";"D15_11";"complete";44;2;22
"2025";"incubation3";"D15_6";"complete";249;2;124,5
"2025";"incubation3";"D17_16";"complete";0;0;0
"2025";"incubation3";"D17_8";"complete";50;2;25
"2025";"incubation3";"D21_1";"complete";52;1;52
"2025";"incubation3";"D22_17";"complete";0;0;0
"2025";"incubation3";"J24_1";"complete";0;0;0
"2025";"incubation3";"K16_4";"complete";1645;5;329
"2025";"incubation3";"K19_22";"complete";1433;4;358,25
"2025";"incubation3";"K19_31";"complete";0;0;0
"2025";"incubation3";"K20_8";"complete";0;0;0
"2025";"incubation3";"K21_28";"complete";41;2;20,5
"2025";"incubation3";"K21_37";"complete";0;0;0
"2025";"incubation3";"K8";"complete";111;1;111
"2025";"incubation3";"W20";"complete";85;1;85
"2025";"incubation3";"W40";"complete";0;0;0
"2025";"incubation3";"W41J";"complete";0;0;0
"2025";"incubation3";"Y23_1";"complete";22;2;11
