"Season_Nest";"nest";"season";"session";"sx";"ringno";"Total_Complete_Neglect";"n_gaps";"mean_neglect_duration";"n_incubations";"mean_incubation_duration";"uCode";"uName";"NI";"Rank"
"2020_113_41";"113_41";2020;"incubation1";"f";44892;1878;9;208,666666666667;17;5346,76470588235;"2020_incubation1_113_41_f";"2020_incubation1_113_41_f";20,95;80
"2020_113_41";"113_41";2020;"incubation1";"m";46155;515;3;171,666666666667;11;10046,5454545455;"2020_incubation1_113_41_m";"2020_incubation1_113_41_m";11,25;128
"2020_113_41";"113_41";2020;"incubation2";"f";44892;431;2;215,5;2;39948;"2020_incubation2_113_41_f";"2020_incubation2_113_41_f";11,19;129
"2020_113_41";"113_41";2020;"incubation2";"m";46155;35709;3;11903;3;18921,3333333333;"2020_incubation2_113_41_m";"2020_incubation2_113_41_m";83,32;7
"2020_113_41";"113_41";2020;"incubation3";"f";44892;4493;10;449,3;11;15898,3636363636;"2020_incubation3_113_41_f";"2020_incubation3_113_41_f";32,64;42
"2020_113_41";"113_41";2020;"incubation3";"m";46155;0;0;NA;3;16012;"2020_incubation3_113_41_m";"2020_incubation3_113_41_m";0;327
"2020_11_58";"11_58";2020;"incubation1";"f";55405;0;0;NA;24;3178,54166666667;"2020_incubation1_11_58_f";"2020_incubation1_11_58_f";0;327
"2020_11_58";"11_58";2020;"incubation1";"m";26937;216;5;43,2;10;12328,1;"2020_incubation1_11_58_m";"2020_incubation1_11_58_m";4,72;222
"2020_11_58";"11_58";2020;"incubation2";"f";55405;25;1;25;6;21401,3333333333;"2020_incubation2_11_58_f";"2020_incubation2_11_58_f";1,08;287
"2020_11_58";"11_58";2020;"incubation2";"m";26937;15;1;15;3;22633,3333333333;"2020_incubation2_11_58_m";"2020_incubation2_11_58_m";0,61;313
"2020_11_58";"11_58";2020;"incubation3";"f";55405;11571;28;413,25;52;923,711538461538;"2020_incubation3_11_58_f";"2020_incubation3_11_58_f";41,67;31
"2020_11_58";"11_58";2020;"incubation3";"m";26937;61;2;30,5;3;52147,3333333333;"2020_incubation3_11_58_m";"2020_incubation3_11_58_m";1,9;275
"2020_12_16";"12_16";2020;"incubation1";"f";50259;769;4;192,25;9;13754,8888888889;"2020_incubation1_12_16_f";"2020_incubation1_12_16_f";13,99;106
"2020_12_16";"12_16";2020;"incubation1";"m";50138;2349;8;293,625;10;8380,5;"2020_incubation1_12_16_m";"2020_incubation1_12_16_m";24,36;65
"2020_12_16";"12_16";2020;"incubation2";"f";50259;0;0;NA;2;38853;"2020_incubation2_12_16_f";"2020_incubation2_12_16_f";0;327
"2020_12_16";"12_16";2020;"incubation2";"m";50138;312;2;156;3;42423,6666666667;"2020_incubation2_12_16_m";"2020_incubation2_12_16_m";8,61;153
"2020_14_24K";"14_24K";2020;"incubation1";"f";55445;0;0;NA;3;22725;"2020_incubation1_14_24K_f";"2020_incubation1_14_24K_f";0;327
"2020_14_24K";"14_24K";2020;"incubation1";"m";50203;201;1;201;4;31069,5;"2020_incubation1_14_24K_m";"2020_incubation1_14_24K_m";7,98;163
"2020_14_24K";"14_24K";2020;"incubation2";"f";55445;0;0;NA;1;52445;"2020_incubation2_14_24K_f";"2020_incubation2_14_24K_f";0;327
"2020_14_24K";"14_24K";2020;"incubation2";"m";50203;0;0;NA;2;69562;"2020_incubation2_14_24K_m";"2020_incubation2_14_24K_m";0;327
"2020_14_6K";"14_6K";2020;"incubation1";"f";50154;1315;11;119,545454545455;17;8191,11764705882;"2020_incubation1_14_6K_f";"2020_incubation1_14_6K_f";16,28;92
"2020_14_6K";"14_6K";2020;"incubation1";"m";48518;329;3;109,666666666667;12;6376,33333333333;"2020_incubation1_14_6K_m";"2020_incubation1_14_6K_m";7,84;165
"2020_14_6K";"14_6K";2020;"incubation2";"f";50154;599;4;149,75;7;19076,2857142857;"2020_incubation2_14_6K_f";"2020_incubation2_14_6K_f";11,63;126
"2020_14_6K";"14_6K";2020;"incubation2";"m";48518;17;1;17;3;26478;"2020_incubation2_14_6K_m";"2020_incubation2_14_6K_m";0,7;309
"2020_14_6K";"14_6K";2020;"incubation3";"f";50154;959;7;137;8;21546,5;"2020_incubation3_14_6K_f";"2020_incubation3_14_6K_f";14,35;105
"2020_14_6K";"14_6K";2020;"incubation3";"m";48518;105;1;105;6;10307;"2020_incubation3_14_6K_m";"2020_incubation3_14_6K_m";4,5;226
"2020_D15_13";"D15_13";2020;"incubation1";"f";50033;848;4;212;5;28978,4;"2020_incubation1_D15_13_f";"2020_incubation1_D15_13_f";15;102
"2020_D15_13";"D15_13";2020;"incubation1";"m";35945;1731;1;1731;1;36768;"2020_incubation1_D15_13_m";"2020_incubation1_D15_13_m";34,19;38
"2020_D15_13";"D15_13";2020;"incubation2";"f";50033;2437;2;1218,5;3;27657;"2020_incubation2_D15_13_f";"2020_incubation2_D15_13_f";34,1;39
"2020_D15_13";"D15_13";2020;"incubation2";"m";35945;0;0;NA;2;56805,5;"2020_incubation2_D15_13_m";"2020_incubation2_D15_13_m";0;327
"2020_D16_10";"D16_10";2020;"incubation2";"f";55418;4;1;4;4;43124,5;"2020_incubation2_D16_10_f";"2020_incubation2_D16_10_f";0,08;326
"2020_D16_10";"D16_10";2020;"incubation2";"m";48559;8;1;8;3;19408,3333333333;"2020_incubation2_D16_10_m";"2020_incubation2_D16_10_m";0,27;322
"2020_D17_16";"D17_16";2020;"incubation1";"f";50165;1347;5;269,4;5;15869,4;"2020_incubation1_D17_16_f";"2020_incubation1_D17_16_f";19,34;83
"2020_D17_16";"D17_16";2020;"incubation1";"m";50172;554;5;110,8;9;11484;"2020_incubation1_D17_16_m";"2020_incubation1_D17_16_m";10,36;135
"2020_D17_16";"D17_16";2020;"incubation2";"f";50165;179;3;59,6666666666667;5;25624,2;"2020_incubation2_D17_16_f";"2020_incubation2_D17_16_f";4,6;223
"2020_D17_16";"D17_16";2020;"incubation2";"m";50172;0;0;NA;2;32141,5;"2020_incubation2_D17_16_m";"2020_incubation2_D17_16_m";0;327
"2020_D17_8";"D17_8";2020;"incubation1";"f";50290;165;2;82,5;30;4280,2;"2020_incubation1_D17_8_f";"2020_incubation1_D17_8_f";4,94;218
"2020_D17_8";"D17_8";2020;"incubation1";"m";48597;524;5;104,8;18;4010,66666666667;"2020_incubation1_D17_8_m";"2020_incubation1_D17_8_m";9,92;141
"2020_D17_8";"D17_8";2020;"incubation2";"f";50290;0;0;NA;3;22019;"2020_incubation2_D17_8_f";"2020_incubation2_D17_8_f";0;327
"2020_D17_8";"D17_8";2020;"incubation2";"m";48597;50;1;50;3;44590;"2020_incubation2_D17_8_m";"2020_incubation2_D17_8_m";2,21;265
"2020_D17_8";"D17_8";2020;"incubation3";"f";50290;0;0;NA;12;11433,3333333333;"2020_incubation3_D17_8_f";"2020_incubation3_D17_8_f";0;327
"2020_D17_8";"D17_8";2020;"incubation3";"m";48597;1729;4;432,25;5;16179,8;"2020_incubation3_D17_8_m";"2020_incubation3_D17_8_m";23,78;66
"2020_K17_11";"K17_11";2020;"incubation1";"f";55682;0;0;NA;2;30609,5;"2020_incubation1_K17_11_f";"2020_incubation1_K17_11_f";0;327
"2020_K17_11";"K17_11";2020;"incubation1";"m";46154;5;1;5;3;42037,3333333333;"2020_incubation1_K17_11_m";"2020_incubation1_K17_11_m";0,13;325
"2020_K17_11";"K17_11";2020;"incubation2";"f";55682;0;0;NA;2;51273,5;"2020_incubation2_K17_11_f";"2020_incubation2_K17_11_f";0;327
"2020_K17_11";"K17_11";2020;"incubation2";"m";46154;8;1;8;2;41262;"2020_incubation2_K17_11_m";"2020_incubation2_K17_11_m";0,27;322
"2020_K17_13";"K17_13";2020;"incubation1";"f";55406;0;0;NA;16;4515,375;"2020_incubation1_K17_13_f";"2020_incubation1_K17_13_f";0;327
"2020_K17_13";"K17_13";2020;"incubation1";"m";50496;257;6;42,8333333333333;15;7203,4;"2020_incubation1_K17_13_m";"2020_incubation1_K17_13_m";5,29;210
"2020_K17_13";"K17_13";2020;"incubation2";"f";55406;0;0;NA;2;33164,5;"2020_incubation2_K17_13_f";"2020_incubation2_K17_13_f";0;327
"2020_K17_13";"K17_13";2020;"incubation2";"m";50496;151;2;75,5;5;26250,4;"2020_incubation2_K17_13_m";"2020_incubation2_K17_13_m";4,56;224
"2020_K17_13";"K17_13";2020;"incubation3";"f";55406;0;0;NA;4;23967,25;"2020_incubation3_K17_13_f";"2020_incubation3_K17_13_f";0;327
"2020_K17_13";"K17_13";2020;"incubation3";"m";50496;48;1;48;3;33647,6666666667;"2020_incubation3_K17_13_m";"2020_incubation3_K17_13_m";2,12;271
"2020_K19_15";"K19_15";2020;"incubation1";"f";43047;0;0;NA;2;53625;"2020_incubation1_K19_15_f";"2020_incubation1_K19_15_f";0;327
"2020_K19_15";"K19_15";2020;"incubation1";"m";55685;0;0;NA;2;42551;"2020_incubation1_K19_15_m";"2020_incubation1_K19_15_m";0;327
"2020_K19_15";"K19_15";2020;"incubation2";"f";43047;23;1;23;3;49155,3333333333;"2020_incubation2_K19_15_f";"2020_incubation2_K19_15_f";0,98;299
"2020_K19_15";"K19_15";2020;"incubation2";"m";55685;0;0;NA;2;27526;"2020_incubation2_K19_15_m";"2020_incubation2_K19_15_m";0;327
"2020_K19_22";"K19_22";2020;"incubation1";"f";55684;0;0;NA;2;33200;"2020_incubation1_K19_22_f";"2020_incubation1_K19_22_f";0;327
"2020_K19_22";"K19_22";2020;"incubation1";"m";48561;30;1;30;2;97989;"2020_incubation1_K19_22_m";"2020_incubation1_K19_22_m";1,31;282
"2020_K19_22";"K19_22";2020;"incubation2";"f";55684;0;0;NA;2;42718;"2020_incubation2_K19_22_f";"2020_incubation2_K19_22_f";0;327
"2020_K19_22";"K19_22";2020;"incubation2";"m";48561;0;0;NA;2;63504,5;"2020_incubation2_K19_22_m";"2020_incubation2_K19_22_m";0;327
"2020_K19_29";"K19_29";2020;"incubation1";"f";55683;243;2;121,5;3;42262,3333333333;"2020_incubation1_K19_29_f";"2020_incubation1_K19_29_f";6,97;177
"2020_K19_29";"K19_29";2020;"incubation1";"m";55686;5146;3;1715,33333333333;3;17579,3333333333;"2020_incubation1_K19_29_m";"2020_incubation1_K19_29_m";44,06;24
"2020_K19_29";"K19_29";2020;"incubation2";"f";55683;20;1;20;3;33981,6666666667;"2020_incubation2_K19_29_f";"2020_incubation2_K19_29_f";0,84;305
"2020_K19_29";"K19_29";2020;"incubation2";"m";55686;1720;1;1720;2;53330,5;"2020_incubation2_K19_29_m";"2020_incubation2_K19_29_m";34,08;40
"2020_K19_29";"K19_29";2020;"incubation3";"f";55683;694;1;694;3;33196;"2020_incubation3_K19_29_f";"2020_incubation3_K19_29_f";20,23;81
"2020_K19_29";"K19_29";2020;"incubation3";"m";55686;772;2;386;3;26625,3333333333;"2020_incubation3_K19_29_m";"2020_incubation3_K19_29_m";17,2;91
"2020_K19_30";"K19_30";2020;"incubation1";"f";46102;0;0;NA;3;40355,6666666667;"2020_incubation1_K19_30_f";"2020_incubation1_K19_30_f";0;327
"2020_K19_30";"K19_30";2020;"incubation1";"m";43065;0;0;NA;1;67774;"2020_incubation1_K19_30_m";"2020_incubation1_K19_30_m";0;327
"2020_K19_30";"K19_30";2020;"incubation2";"f";46102;0;0;NA;3;33258,6666666667;"2020_incubation2_K19_30_f";"2020_incubation2_K19_30_f";0;327
"2020_K19_30";"K19_30";2020;"incubation2";"m";43065;0;0;NA;2;56873;"2020_incubation2_K19_30_m";"2020_incubation2_K19_30_m";0;327
"2020_K8";"K8";2020;"incubation1";"f";55404;610;2;305;9;13724,1111111111;"2020_incubation1_K8_f";"2020_incubation1_K8_f";14,55;104
"2020_K8";"K8";2020;"incubation1";"m";44931;240;4;60;8;12691,625;"2020_incubation1_K8_m";"2020_incubation1_K8_m";5,49;206
