"Season";"session";"Nest";"group";"total_neglected_seconds";"number_of_neglect_events";"average_neglect_duration";"uCode";"NI";"Rank";"Lay_day";"Hatch_day";"mean_date";"Julian_Date_point";"Incubation_Duration";"Days_to_Hatch"
"2021";"incubation1";"W40";"complete";2821;13;217;"W40_incubation1_21";18,42;61;170;199;2021-06-22 23:24:34.5;173;29;26
"2021";"incubation1";"W41J";"complete";5695;13;438,076923076923;"W41J_incubation1_21";27,92;35;172;200;2021-06-24 23:09:24;175;28;25
"2021";"incubation1";"W6";"complete";1149;13;88,3846153846154;"W6_incubation1_21";9,74;95;169;199;2021-06-22 02:01:55;173;30;26
"2021";"incubation2";"101";"complete";81;2;40,5;"101_incubation2_21";1,95;176;171;198;2021-07-04 23:52:58.5;185;27;13
"2021";"incubation2";"113_41";"complete";199;2;99,5;"113_41_incubation2_21";4,5;141;170;200;2021-07-05 00:17:43;186;30;14
"2021";"incubation2";"11_58";"complete";183;5;36,6;"11_58_incubation2_21";2,65;167;171;200;2021-07-04 23:56:06;185;29;15
"2021";"incubation2";"D15_5";"complete";329;4;82,25;"D15_5_incubation2_21";4,99;134;176;204;2021-07-10 00:09:16.5;191;28;13
"2021";"incubation2";"D15_6";"complete";32804;1;32804;"D15_6_incubation2_21";85,98;3;171;200;2021-07-04 23:53:26.5;185;29;15
"2021";"incubation2";"D16_1";"complete";146;1;146;"D16_1_incubation2_21";5,2;132;173;202;2021-07-06 22:26:34.5;187;29;15
"2021";"incubation2";"D17_16";"complete";50;2;25;"D17_16_incubation2_21";1,23;188;168;199;2021-07-03 23:46:37.5;184;31;15
"2021";"incubation2";"K16_4";"complete";464;4;116;"K16_4_incubation2_21";6,75;117;175;204;2021-07-08 23:47:49;189;29;15
"2021";"incubation2";"K17_13";"complete";82;1;82;"K17_13_incubation2_21";3,12;159;172;201;2021-07-06 05:05:46;187;29;14
"2021";"incubation2";"K8";"complete";31481;1;31481;"K8_incubation2_21";85,11;5;171;201;2021-07-05 00:04:31.5;186;30;15
"2021";"incubation2";"W39";"complete";0;0;0;"W39_incubation2_21";0;208;NA;200;2021-07-07 03:09:07.5;188;NA;12
"2021";"incubation2";"W40";"complete";1192;14;85,1428571428571;"W40_incubation2_21";9,85;94;170;199;2021-07-05 00:09:01.5;186;29;13
"2021";"incubation2";"W41J";"complete";410;2;205;"W41J_incubation2_21";8,38;103;172;200;2021-07-06 05:02:19;187;28;13
"2021";"incubation2";"W6";"complete";310;7;44,2857142857143;"W6_incubation2_21";3,81;148;169;199;2021-07-05 00:06:15.5;186;30;13
"2021";"incubation3";"101";"complete";542;4;135,5;"101_incubation3_21";7,7;108;171;198;2021-07-13 22:55:01;194;27;4
"2021";"incubation3";"113_41";"complete";563;4;140,75;"113_41_incubation3_21";7,95;105;170;200;2021-07-12 22:33:57;193;30;7
"2021";"incubation3";"11_58";"complete";0;0;0;"11_58_incubation3_21";0;208;171;200;2021-07-13 22:57:59.5;194;29;6
"2021";"incubation3";"D15_5";"complete";161;2;80,5;"D15_5_incubation3_21";3,71;149;176;204;2021-07-18 23:34:15;199;28;5
"2021";"incubation3";"D15_6";"complete";481;2;240,5;"D15_6_incubation3_21";9,54;97;171;200;2021-07-13 22:58:04;194;29;6
"2021";"incubation3";"D16_1";"complete";0;0;0;"D16_1_incubation3_21";0;208;173;202;2021-07-15 23:13:08.5;196;29;6
"2021";"incubation3";"D17_16";"complete";121;1;121;"D17_16_incubation3_21";4,42;142;168;199;2021-07-11 23:09:27;192;31;7
"2021";"incubation3";"K16_4";"complete";200;2;100;"K16_4_incubation3_21";4,52;139;175;204;2021-07-17 22:39:35.5;198;29;6
"2021";"incubation3";"K17_13";"complete";139;2;69,5;"K17_13_incubation3_21";3,24;156;172;201;2021-07-14 22:56:38;195;29;6
"2021";"incubation3";"K8";"complete";22693;5;4538,6;"K8_incubation3_21";61,38;15;171;201;2021-07-13 22:58:15.5;194;30;7
"2021";"incubation3";"W39";"complete";20765;2;10382,5;"W39_incubation3_21";69,02;12;NA;200;2021-07-15 23:05:12.5;196;NA;4
"2021";"incubation3";"W40";"complete";1213;14;86,6428571428571;"W40_incubation3_21";9,98;93;170;199;2021-07-12 22:35:57;193;29;6
"2021";"incubation3";"W41J";"complete";2165;2;1082,5;"W41J_incubation3_21";26,81;37;172;200;2021-07-14 23:00:29.5;195;28;5
"2021";"incubation3";"W6";"complete";537;7;76,7142857142857;"W6_incubation3_21";6,2;122;169;199;2021-07-11 23:12:07;192;30;7
"2023";"incubation1";"101";"complete";120;3;40;"101_incubation1_23";2,26;173;NA;194;2023-06-23 14:57:18;174;NA;20
"2023";"incubation1";"12_16";"complete";91153;3;30384,3333333333;"12_16_incubation1_23";95,98;1;NA;195;2023-06-23 14:56:53;174;NA;21
"2023";"incubation1";"14_10M";"complete";25;1;25;"14_10M_incubation1_23";1,01;192;NA;194;2023-06-23 14:55:18;174;NA;20
